VideoID,VideoTitle,Views,Likes,Dislikes,Comments,DurationinMinutes
253,Ivana,99098486,1913,523,1943,138
285,Charles,96584528,1890,988,1225,95
254,Blake,95803230,1712,1884,1702,60
225,Kasper,95526385,1683,315,1285,152
203,Jordan,93799063,1157,1796,355,153
253,Stuart,91677846,403,212,20,151
233,Candice,91582760,1075,667,657,215
208,Hanna,90760202,1165,1782,77,12
200,Zia,88300762,1919,1002,187,209
220,Germaine,88298818,1660,666,587,107
232,Mara,88291558,171,484,656,131
196,Jocelyn,88044726,608,1823,821,24
253,Slade,87825169,23,420,298,226
286,Cathleen,86388470,1424,1927,1558,69
235,Fatima,85778923,1523,1985,900,187
274,Riley,84932981,336,1704,106,49
267,Eaton,84511214,1077,246,1863,175
296,Cruz,83949610,804,1466,255,204
288,Isaac,82817437,1905,1537,1066,121
298,Ingrid,81702485,886,1186,389,102
231,Audra,81028834,557,1997,1099,164
277,Scarlet,80577995,1622,348,944,6
259,Pearl,77162490,919,732,1285,149
223,Moses,77022193,747,1404,912,99
239,Carter,75598356,1232,1280,1583,106
247,Montana,75014655,1412,1693,254,70
218,Moana,74967701,1083,1159,755,141
233,Raphael,74120552,1389,1144,1258,4
267,Fritz,72870960,526,814,1207,187
233,Omar,71883414,498,1290,895,78
256,Hu,71476732,1308,1775,1023,20
279,Quinn,71413301,1682,1414,1250,178
210,Armand,70802645,512,935,1838,222
261,Inga,69851813,271,1374,1053,83
299,Wendy,69057579,1014,799,27,47
230,Reese,68966602,845,295,613,17
236,Phelan,68492475,1666,307,1782,114
250,Halee,65885938,1324,1081,528,11
235,Heather,65703265,1144,1839,1051,121
215,Hakeem,65682722,1724,1248,7,10
200,Guinevere,63697917,491,834,581,17
211,Roary,63526368,1568,1094,45,113
204,Marcia,62815305,299,1118,1733,148
271,Cara,62238719,520,642,1916,235
195,Jack,56412211,1697,604,1600,154
276,Arsenio,56064755,52,351,1254,37
257,Chastity,55965451,1049,1997,1864,67
234,Ray,54451280,987,558,1612,211
228,Christen,54381140,383,1274,160,117
239,Grady,52944230,1404,1409,238,238
239,August,52141726,712,1111,248,103
291,Jordan,51129004,1856,1724,1296,79
272,Iola,50975490,53,17,750,174
300,Indigo,50927208,1128,1331,771,187
195,Rose,50686809,1836,1205,35,58
278,Mara,50192027,103,1794,1183,31
274,Avram,49917081,1801,106,1240,37
244,Cedric,49685766,808,138,1690,44
198,Hadassah,49183787,1065,781,1989,132
225,Ishmael,48019797,1288,1667,423,89
208,Sybil,47124888,1329,921,230,128
270,Alan,47106377,1270,615,1116,206
290,Tamekah,46063956,792,514,1617,168
234,Herrod,45218198,645,319,675,125
262,Chancellor,44027937,310,460,1572,86
241,Roanna,43670342,723,1942,194,25
212,Ebony,42663264,420,591,445,175
259,Martin,41822229,627,1967,1818,200
215,Lucian,41235036,1826,1003,861,56
215,Ross,40991433,129,248,1048,69
229,Hiroko,39922361,266,1342,1250,191
238,Len,39561602,1647,823,1429,178
300,Joshua,39332438,713,964,1658,56
279,Clarke,38069535,1591,700,313,176
274,Amethyst,37552991,599,787,1300,51
197,Calista,36417006,1338,1116,1069,51
288,Rebecca,30326023,260,1581,1522,93
277,Chase,29836017,514,559,1981,19
236,Mark,29629107,1552,505,544,234
287,William,26968729,802,469,1128,174
285,Thane,25870544,802,109,802,214
202,Cara,24418800,43,711,599,82
208,Lawrence,22610191,1341,1320,904,202
209,Rahim,21055684,1293,147,889,138
237,Nathan,20851215,462,628,1970,169
269,Orli,19815620,536,230,1773,225
241,Britanni,19214532,55,370,735,52
222,Hedwig,17675551,1070,169,739,77
281,Neil,17588417,1728,1670,45,96
275,Zenaida,16095831,900,878,1083,109
295,Ann,10694914,1941,493,221,239
216,Sylvia,9260777,279,687,1875,211
232,Noelani,8891134,1142,808,655,64
219,Alvin,8552798,249,848,822,63
257,Halee,7813202,1799,1038,267,121
246,Cairo,7544912,1409,1749,760,81
245,Orlando,5805088,1679,667,633,183
291,Holmes,3460544,1773,854,232,128
213,Margaret,1259468,873,685,1082,229
286,Winifred,800308,1707,439,494,187
